Rango2,Provincias,Cantidad
"0-9,""Artemisa"",1"
"10-19,""Artemisa"",1"
"20-29,""Artemisa"",5"
"30-39,""Artemisa"",6"
"40-49,""Artemisa"",7"
"50-59,""Artemisa"",8"
"60-69,""Artemisa"",3"
"70-79,""Artemisa"",1"
"80-89,""Artemisa"",1"
"90-99,""Artemisa"",0"
"100 o más,""Artemisa"",0"
"0-9,""Camagüey"",2"
"10-19,""Camagüey"",7"
"20-29,""Camagüey"",3"
"30-39,""Camagüey"",10"
"40-49,""Camagüey"",8"
"50-59,""Camagüey"",9"
"60-69,""Camagüey"",4"
"70-79,""Camagüey"",4"
"80-89,""Camagüey"",0"
"90-99,""Camagüey"",1"
"100 o más,""Camagüey"",0"
"0-9,""Ciego de Ávila"",11"
"10-19,""Ciego de Ávila"",4"
"20-29,""Ciego de Ávila"",22"
"30-39,""Ciego de Ávila"",12"
"40-49,""Ciego de Ávila"",15"
"50-59,""Ciego de Ávila"",13"
"60-69,""Ciego de Ávila"",8"
"70-79,""Ciego de Ávila"",3"
"80-89,""Ciego de Ávila"",5"
"90-99,""Ciego de Ávila"",0"
"100 o más,""Ciego de Ávila"",0"
"0-9,""Cienfuegos"",1"
"10-19,""Cienfuegos"",4"
"20-29,""Cienfuegos"",5"
"30-39,""Cienfuegos"",8"
"40-49,""Cienfuegos"",2"
"50-59,""Cienfuegos"",1"
"60-69,""Cienfuegos"",2"
"70-79,""Cienfuegos"",0"
"80-89,""Cienfuegos"",1"
"90-99,""Cienfuegos"",0"
"100 o más,""Cienfuegos"",0"
"0-9,""Granma"",2"
"10-19,""Granma"",1"
"20-29,""Granma"",3"
"30-39,""Granma"",2"
"40-49,""Granma"",1"
"50-59,""Granma"",2"
"60-69,""Granma"",1"
"70-79,""Granma"",0"
"80-89,""Granma"",0"
"90-99,""Granma"",0"
"100 o más,""Granma"",0"
"0-9,""Guantánamo"",1"
"10-19,""Guantánamo"",2"
"20-29,""Guantánamo"",2"
"30-39,""Guantánamo"",6"
"40-49,""Guantánamo"",1"
"50-59,""Guantánamo"",2"
"60-69,""Guantánamo"",2"
"70-79,""Guantánamo"",0"
"80-89,""Guantánamo"",1"
"90-99,""Guantánamo"",0"
"100 o más,""Guantánamo"",0"
"0-9,""Holguín"",2"
"10-19,""Holguín"",7"
"20-29,""Holguín"",14"
"30-39,""Holguín"",16"
"40-49,""Holguín"",12"
"50-59,""Holguín"",21"
"60-69,""Holguín"",5"
"70-79,""Holguín"",11"
"80-89,""Holguín"",4"
"90-99,""Holguín"",0"
"100 o más,""Holguín"",0"
"0-9,""Isla de la Juventud"",4"
"10-19,""Isla de la Juventud"",1"
"20-29,""Isla de la Juventud"",9"
"30-39,""Isla de la Juventud"",3"
"40-49,""Isla de la Juventud"",6"
"50-59,""Isla de la Juventud"",9"
"60-69,""Isla de la Juventud"",6"
"70-79,""Isla de la Juventud"",1"
